QuestionID,カテゴリ番号,属性ペア,うわさの内容,interest_データ数,interest_平均値,interest_SD,AOI_データ数,AOI_平均値,AOI_SD,privacy_データ数,privacy_平均値,privacy_SD,polarity_データ数,polarity_平均値,polarity_SD
25.0,31,M4-F4,Aさんは海外旅行に行きたい,12,4.25,1.1381803659589922,12,1.75,0.8660254037844386,12,2.1666666666666665,0.937436866561092,12,5.75,1.0552897060221726
25.0,32,M1-F1,Aさんは鳥のフンを落とされた,12,4.583333333333333,1.5050420310248864,12,4.75,1.6583123951777,12,4.583333333333333,1.7816403745544227,12,1.6666666666666667,0.778498944161523
25.0,32,M2-F2,Aさんは鳥のフンを落とされた,12,2.5,1.4459976109624424,12,4.166666666666667,1.5859229221975182,12,4.583333333333333,1.6764862244009227,12,1.5833333333333333,0.6685579234215215
25.0,32,M3-F3,Aさんは鳥のフンを落とされた,12,3.9166666666666665,2.108783937953269,12,4.5,2.0225995873897262,12,4.333333333333333,2.059714602177749,12,1.4166666666666667,0.6685579234215215
25.0,32,M4-F4,Aさんは鳥のフンを落とされた,12,3.75,1.764549903980152,11,4.2727272727272725,1.4893561757289013,11,4.363636363636363,1.6292775867068983,11,1.5454545454545454,0.6875516509523286
25.0,33,M1-F1,Aさんはレストランで食事していたら、向かいの人から美味しいデザートを勧められた.,12,4.25,1.1381803659589922,12,6.0,1.4142135623730951,12,3.5,1.7320508075688772,12,4.916666666666667,0.7929614610987591
25.0,33,M2-F2,Aさんはレストランで食事していたら、向かいの人から美味しいデザートを勧められた.,12,3.9166666666666665,1.8319554050414564,12,5.0,1.1281521496355325,12,3.3333333333333335,1.669694219873444,12,5.166666666666667,1.0298573010888745
25.0,33,M3-F3,Aさんはレストランで食事していたら、向かいの人から美味しいデザートを勧められた.,12,4.083333333333333,1.7816403745544227,12,6.25,0.8660254037844386,12,3.5833333333333335,1.9752253419585202,12,5.083333333333333,0.90033663737852
25.0,33,M4-F4,Aさんはレストランで食事していたら、向かいの人から美味しいデザートを勧められた.,12,4.0,1.5374122295716148,12,4.75,1.4222261679238197,12,3.5,1.087114613009218,12,5.333333333333333,0.8876253645985944
25.0,34,M1-F1,Aさんは家事を手伝っている,12,4.166666666666667,1.3371158468430429,12,2.25,0.8660254037844386,12,3.5833333333333335,1.97522534195852,12,4.5,0.9045340337332909
25.0,34,M2-F2,Aさんは家事を手伝っている,12,2.9166666666666665,1.5642792899510296,12,1.6666666666666667,0.778498944161523,12,3.4166666666666665,1.9286515936521478,12,4.75,1.0552897060221726
25.0,34,M3-F3,Aさんは家事を手伝っている,12,3.25,1.6025547785276542,12,2.25,0.9653072991634227,12,2.5833333333333335,1.2401124093721456,12,5.5,0.7977240352174656
25.0,34,M4-F4,Aさんは家事を手伝っている,12,3.6666666666666665,1.4354811251305468,12,1.8333333333333333,0.834847109936722,12,2.6666666666666665,1.2309149097933274,12,5.0,0.8528028654224418
25.0,35,M1-F1,Aさんは買い物をしている最中に傘を忘れた,12,2.9166666666666665,1.0836246694508318,11,2.8181818181818183,1.4709304414677,12,3.1666666666666665,1.7494587907710375,12,2.5,0.674199862463242
25.0,35,M2-F2,Aさんは買い物をしている最中に傘を忘れた,12,2.25,1.0552897060221726,12,2.3333333333333335,1.0730867399773196,12,3.25,1.815338686155987,12,2.5,0.5222329678670935
25.0,35,M3-F3,Aさんは買い物をしている最中に傘を忘れた,12,2.5833333333333335,1.164500152881315,12,2.8333333333333335,1.2673044646258476,12,4.0,1.651445647689541,12,2.0,0.6030226891555273
25.0,35,M4-F4,Aさんは買い物をしている最中に傘を忘れた,12,2.6666666666666665,1.6696942198734437,12,2.75,1.2154310870109943,12,3.6666666666666665,1.5569978883230458,12,2.4166666666666665,0.5149286505444373
25.0,36,M1-F1,Aさんは特定のカフェに行きつけだ,11,4.454545454545454,1.3684762594679063,11,2.909090909090909,0.8312094145936334,10,3.1,1.1005049346146119,10,5.4,1.1737877907772671
25.0,36,M2-F2,Aさんは特定のカフェに行きつけだ,12,3.75,1.815338686155987,12,2.9166666666666665,1.0836246694508318,12,4.166666666666667,2.037526724122938,12,5.166666666666667,1.1146408580454257
25.0,36,M3-F3,Aさんは特定のカフェに行きつけだ,12,4.666666666666667,1.4354811251305468,12,2.8333333333333335,1.2673044646258473,12,3.3333333333333335,1.6143297699232972,12,5.666666666666667,0.6513389472789295
25.0,36,M4-F4,Aさんは特定のカフェに行きつけだ,12,4.833333333333333,0.9374368665610922,11,2.909090909090909,0.8312094145936334,11,2.909090909090909,1.2210278829367864,11,5.7272727272727275,0.9045340337332909
25.0,37,M1-F1,Aさんは週末はいつも海にサーフィンしに行く,12,4.666666666666667,1.4354811251305468,12,4.5,1.7837651700316894,12,4.0,2.04494943258218,12,5.666666666666667,1.1547005383792515
25.0,37,M2-F2,Aさんは週末はいつも海にサーフィンしに行く,12,3.75,1.6025547785276542,12,4.333333333333333,1.3026778945578592,12,3.6666666666666665,1.874873733122184,12,6.0,0.6030226891555273
25.0,37,M3-F3,Aさんは週末はいつも海にサーフィンしに行く,12,4.5,1.1677484162422844,12,4.5,1.5666989036012806,12,2.5,1.381698559415515,12,5.916666666666667,0.7929614610987591
